iter	Passed	Remaining
0	0	80
1	0	65
2	1	58
3	1	52
4	1	50
5	1	48
6	1	46
7	2	46
8	2	45
9	2	43
10	2	43
11	3	42
12	3	41
13	3	40
14	3	39
15	3	39
16	4	38
17	4	38
18	4	37
19	4	36
20	4	36
21	5	36
22	5	35
23	5	35
24	5	34
25	6	34
26	6	34
27	6	33
28	6	34
29	7	34
30	7	34
31	7	33
32	7	33
33	7	33
34	8	32
35	8	32
36	8	32
37	8	31
38	8	31
39	9	30
40	9	30
41	9	30
42	9	30
43	9	29
44	10	29
45	10	29
46	10	28
47	10	28
48	10	28
49	11	27
50	11	27
51	11	27
52	11	27
53	12	27
54	12	26
55	12	26
56	12	26
57	12	26
58	13	25
59	13	25
60	13	25
61	13	24
62	13	24
63	14	24
64	14	24
65	14	23
66	14	23
67	14	23
68	15	23
69	15	22
70	15	22
71	15	22
72	15	22
73	16	21
74	16	21
75	17	22
76	17	22
77	17	21
78	17	21
79	17	21
80	18	21
81	18	20
82	18	20
83	18	20
84	18	20
85	19	19
86	19	19
87	19	19
88	19	19
89	19	18
90	20	18
91	20	18
92	20	18
93	20	17
94	20	17
95	21	17
96	21	17
97	21	16
98	21	16
99	21	16
100	22	16
101	22	15
102	22	15
103	22	15
104	22	15
105	23	15
106	23	14
107	23	14
108	23	14
109	23	14
110	24	13
111	24	13
112	24	13
113	24	13
114	24	12
115	25	12
116	25	12
117	25	12
118	25	12
119	25	11
120	26	11
121	26	11
122	26	11
123	26	10
124	26	10
125	27	10
126	27	10
127	27	10
128	27	9
129	27	9
130	28	9
131	28	9
132	28	8
133	28	8
134	28	8
135	28	8
136	29	8
137	29	7
138	29	7
139	29	7
140	29	7
141	30	7
142	30	6
143	30	6
144	30	6
145	30	6
146	31	5
147	31	5
148	31	5
149	31	5
150	31	5
151	32	4
152	32	4
153	32	4
154	32	4
155	32	4
156	33	3
157	33	3
158	33	3
159	33	3
160	33	2
161	34	2
162	34	2
163	34	2
164	34	2
165	34	1
166	35	1
167	35	1
168	35	1
169	35	1
170	35	0
171	36	0
172	36	0
173	36	0
174	36	0
